AS,prefixes_announced
3130,152193
3549,119115
1403,89543
11686,86231
49788,85126
3741,82147
8492,80677
22652,77031
13030,76830
6762,75010
3277,73208
2152,72677
47872,70452
3356,69114
286,67985
57866,67518
31019,65005
3303,60828
37100,58186
2914,58147
202018,58125
1221,58001
24441,57704
62567,57221
20912,56681
53364,55829
393406,55656
18106,55559
200130,55134
23673,55124
40191,55020
293,54820
58511,54715
6939,51870
57463,51303
3257,50691
1299,50063
1668,50024
7660,49752
6539,49673
1239,49163
2497,47868
5413,47519
54728,47247
7018,46549
53767,46469
852,44410
701,42280
3561,41683
34224,28621
2905,8406
11537,4509
