AS,count
2905,35044
11537,40194
701,201971
1239,233505
6539,250715
5413,286490
3561,290190
293,302484
1221,308646
3257,309812
54728,321144
3303,340811
23673,340880
2497,347513
2152,358522
3741,360484
31019,363436
53767,368226
34224,374242
22652,411678
7660,430324
20912,443681
57463,446648
3277,471666
3356,500061
1668,500618
11686,508606
852,509542
6762,518976
1299,573412
13030,618443
53364,627469
7018,645873
2914,688527
40191,752112
18106,754223
24441,765719
200130,804404
37100,836923
3130,899825
57866,974462
286,998361
8492,1007742
1403,1025632
202018,1057623
47872,1076337
49788,1098942
393406,1106781
62567,1121054
6939,1155795
58511,1187855
3549,1670556
